Trends,Search volume,Started,LLM summary,Related US stock,News sentiment score
christopher nolan,5K+,"July 16, 2026 at 11:50:00 AM UTC+8",克里斯托弗·諾蘭近期成為熱搜，主因各大權威媒體發布其新片《奧德賽》的影評。《紐約時報》與《洛杉磯時報》等皆給予極高評價，盛讚該片為令人驚嘆的史詩巨作並展現其主題探索。正面影評於7月中陸續出爐，引發大眾關注與討論，帶動搜尋量激增。,,9
zendaya,5K+,"July 16, 2026 at 11:50:00 AM UTC+8",Zendaya近期因電影《The Odyssey》宣傳活動而成為搜尋熱點。她在首映會及《The Tonight Show》錄影前展現多套令人驚豔的造型，包括金色禮服及裸妝妝容，引發媒體廣泛報導與民眾關注。People.com、Entertainment Weekly及Variety等媒體均聚焦其時尚穿搭與美妝細節，顯示搜尋量上升主因為其高曝光度的宣傳行程及引人注目的時尚表現。,,8
hal williams,2K+,"July 16, 2026 at 1:20:00 PM UTC+8",美國資深演員Hal Williams於2026年7月16日辭世，享壽91歲。他曾主演經典情境喜劇《227》並常駐《Sanford and Son》，深受觀眾喜愛。多家媒體如Variety、Deadline及TheWrap均報導其離世消息，引發大量搜尋熱潮，反映影迷對其演藝生涯的懷念與致敬。,,3
supreme,2K+,"July 16, 2026 at 12:20:00 PM UTC+8",「Supreme」搜尋量上升主要與多則最高法院相關新聞同時出現有關。加州最高法院批准採用NextGen統一律師資格考試；肯塔基州憲法官員要求該州最高法院重新審理州博覽會委員會案件；美國最高法院大法官則希望增聘人員以應對網路安全威脅。多起司法體系動態同日發布，促使民眾搜尋「supreme」一詞以獲取更多資訊。整體新聞基調偏向中性至正面，涉及司法改革與安全強化。,,6
interstellar,2K+,"July 16, 2026 at 11:50:00 AM UTC+8",「interstellar」搜尋量激增主要受三則新聞帶動：一是Zendaya分享Tom Holland拍攝她熱衷討論電影《星際效應》（Interstellar）的家庭影片，引發社群熱議；二是科學家在星際空間發現覆盆子糖分子，這項甜味發現可能揭示生命起源線索；三是Deadline盤點Christopher Nolan十大最佳電影及串流平台資訊，其中包含《星際效應》。名人效應與科學突破同時出現，推升搜尋關注度。,,8
kim kardashian,2K+,"July 16, 2026 at 11:40:00 AM UTC+8",金·卡戴珊近期成為搜尋熱門話題，主要因兩件事：一是她花費28.5萬美元購買一輛1973年福特Bronco古董車，放置於愛達荷州山區豪宅，並在湖濱新居首次亮相其價值380萬美元的車庫收藏；二是13歲女兒North West弄了手部穿洞引發爭議，《The View》節目主持人公開為卡戴珊育兒方式辯護。名人奢華消費與家庭話題雙重發酵，帶動搜尋量上升。,,6
new monkey species,2K+,"July 16, 2026 at 11:30:00 AM UTC+8",耶魯大學、華盛頓郵報及佛羅里達大西洋大學於2026年7月15日至16日相繼報導，科學家在剛果盆地雨林發現了一種新猴類物種，命名為「Likweli」。搜尋熱度上升的主要原因為多家知名機構同時報導此科學突破，新物種發現具高度新聞價值，加上公眾對生物多樣性的關注，促使大量民眾上網搜尋相關資訊。該發現有助於增進對非洲靈長類動物的科學了解。,,7
espy winners,2K+,"July 16, 2026 at 10:50:00 AM UTC+8",2026年ESPY頒獎典禮於7月16日舉行，由ESPN主辦，表揚年度最佳體育表現與運動員。USA Today、Bleacher Report及ESPN均發布完整得獎名單、精華片段及社群媒體反應等報導，帶動「espy winners」搜尋量上升。民眾關注各獎項得主及典禮亮點，使該話題迅速登上Google Trends熱搜。,,7
hunger games,2K+,"July 16, 2026 at 10:50:00 AM UTC+8",「飢餓遊戲」成為搜尋熱門話題，主因是全系列五部電影將重返戲院上映，為即將到來的「殘酷新篇章」鋪路。同時，製作該系列的獅門影業（Lionsgate）傳出正接洽歐洲買家，帶動股價大漲，進一步推升話題熱度。兩則消息均於2026年7月15至16日發布，使影迷與投資人同步關注此系列動態。,LION,7
josh hart,2K+,"July 16, 2026 at 10:50:00 AM UTC+8",紐約尼克隊球員Josh Hart在世界盃阿根廷隊由Messi帶領逆轉擊敗英格蘭後，發表言論將阿根廷隊比作尼克隊，引起球迷熱議。此言論結合了NBA與世界盃足球話題，加上Messi的明星效應，使搜尋量迅速上升。整體氣氛正面，反映體育跨領域討論的熱度。,,7
